meta	r	p	res	trm		cyl	B		E	C		Pa	Pb	S	T	L	V
1		1	1	H	cons	lt	79		18	5		0	4	0	10	70	0
1		1	2	I	cons	lt	7		1	1		0	0	0	0	110	1
1		1	3	H	cons	lt	220		44	440		0	0	0	0	13	0
1		1	4	I	cons	lt	121		7	1		0	5	0	0	57	9
1		1	5	H	cons	lt	330		52	110		0	1	0	0	0	0
2		2	1	H	cons	lt	100		8	9		0	0	0	3	106	16
2		2	2	I	cons	lt	31		8	31		0	1	0	1	51	10
2		2	3	H	cons	lt	110		18	52		0	1	0	0	9	2
2		2	4	I	cons	lt	105		8	4		0	2	0	0	23	3
2		2	5	H	cons	lt	110		36	330		0	0	0	0	4	3
3		3	1	H	cons	lt	330		45	220		0	2	0	0	0	0
3		3	2	I	cons	lt	157		14	10		0	2	0	0	2	2
3		3	3	H	cons	lt	110		330	330		0	4	1	0	4	1
3		3	4	I	cons	lt	102		15	1		0	1	0	1	49	4
3		3	5	H	cons	lt	440		97	440		0	2	0	0	32	0
4		4	1	H	cons	lt	57		19	3		0	0	0	4	56	1
4		4	2	I	cons	lt	100		21	220		0	0	0	0	12	0
4		4	3	H	cons	lt	330		8	660		0	8	0	0	64	0
4		4	4	I	cons	lt	93		11	0		0	2	0	0	14	4
4		4	5	H	cons	lt	220		56	100		0	1	0	0	4	1
5		5	1	H	cons	lt	38		17	4		0	0	0	0	20	2
5		5	2	I	cons	lt	95		10	1		0	0	0	1	28	5
5		5	3	H	cons	lt	220		25	100		0	2	0	0	7	2
5		5	4	I	cons	lt	11		1	2		0	1	0	0	59	30
5		5	5	H	cons	lt	46		3	14		0	1	0	0	29	7
6		6	1	H	cons	lt	330		55	550		0	3	0	0	7	6
6		6	2	I	cons	lt	58		1	0		0	0	0	0	43	3
6		6	3	H	cons	lt	145		21	0		0	3	0	0	50	2
6		6	4	I	cons	lt	2		1	0		0	0	0	0	98	0
6		6	5	H	cons	lt	110		12	21		0	2	0	1	41	10
7		7	1	H	cons	lt	220		51	110		0	5	0	3	106	6
7		7	2	I	cons	lt	8		3	23		0	0	0	1	45	3
7		7	3	H	cons	lt	99		22	4		0	1	0	1	110	2
7		7	4	I	cons	lt	110		65	10		0	4	0	1	16	2
7		7	5	H	cons	lt	550		27	440		0	3	0	7	17	1
8		8	1	H	cons	lt	48		28	0		0	1	0	0	100	7
8		8	2	I	cons	lt	58		40	2		0	0	0	0	100	0
8		8	3	H	cons	lt	100		41	110		0	1	0	0	96	5
8		8	4	I	cons	lt	107		25	12		0	2	0	0	65	1
8		8	5	H	cons	lt	67		10	2		0	4	0	1	110	6
9		1	1	H	long	lt	440		76	220		0	0	0	0	9	1
9		1	2	I	long	dk	110		19	100		0	3	0	0	33	11
9		1	3	H	long	lt	330		42	110		0	0	0	0	48	1
9		1	4	I	long	lt	220		7	0		0	0	0	2	13	3
9		1	5	H	long	dk	330		9	110		0	1	0	4	0	0
10		2	1	H	long	lt	67		6	22		0	1	0	6	17	1
10		2	2	I	long	dk	129		6	33		0	0	0	2	63	8
10		2	3	H	long	lt	147		29	2		0	1	0	1	29	6
10		2	4	I	long	lt	110		13	110		0	0	0	0	26	5
10		2	5	H	long	dk	220		50	100		0	1	0	0	33	2
11		3	1	H	long	lt	49		28	3		0	0	0	0	1	1
11		3	2	I	long	dk	220		12	100		0	0	0	0	9	0
11		3	3	H	long	lt	100		25	660		0	2	0	0	4	5
11		3	4	I	long	lt	110		3	1		0	2	0	0	23	1
11		3	5	H	long	dk	330		30	1320	0	4	0	0	7	1
12		4	1	H	long	lt	660		25	100		0	0	0	0	13	0
12		4	2	I	long	dk	100		12	1		0	1	0	0	83	0
12		4	3	H	long	lt	110		32	100		0	0	0	2	10	1
12		4	4	I	long	lt	66		7	0		0	0	0	7	92	15
12		4	5	H	long	dk	220		55	880		0	0	0	0	12	10
13		5	1	H	long	lt	220		31	110		0	0	0	0	9	0
13		5	2	I	long	dk	220		11	100		0	0	0	0	10	2
13		5	3	H	long	lt	220		5	8		0	0	0	0	69	0
13		5	4	I	long	lt	43		2	4		0	1	0	0	19	6
13		5	5	H	long	dk	100		30	220		0	1	3	0	2	3
14		6	1	H	long	lt	100		8	8		0	0	0	5	3	1
14		6	2	I	long	dk	42		41	0		0	2	0	0	48	2
14		6	3	H	long	lt	100		21	110		0	0	0	0	51	0
14		6	4	I	long	lt	63		8	0		0	0	0	0	38	2
14		6	5	H	long	dk	100		32	110		0	0	0	0	12	0
15		7	1	H	long	lt	100		52	110		0	1	0	1	22	1
15		7	2	I	long	dk	67		6	0		0	0	0	0	81	7
15		7	3	H	long	lt	167		5	7		0	0	0	0	65	2
15		7	4	I	long	lt	46		13	3		0	2	0	16	84	4
15		7	5	H	long	dk	550		34	220		0	1	0	0	4	1
16		8	1	H	long	lt	110		19	7		0	0	0	0	18	3
16		8	2	I	long	dk	220		4	4		0	2	0	0	88	10
16		8	3	H	long	lt	100		22	43		0	2	0	0	64	1
16		8	4	I	long	lt	39		2	0		0	5	0	1	119	15
16		8	5	H	long	dk	660		32	110		0	4	0	0	14	1
17		1	1	H	short	lt	330		58	6		0	0	0	0	65	2
17		1	2	I	short	dk	114		14	2		0	1	0	2	120	3
17		1	3	H	short	lt	100		18	770		0	1	0	0	23	0
17		1	4	I	short	lt	440		14	220		0	2	0	4	37	8
17		1	5	H	short	dk	100		25	110		0	0	0	0	18	1
18		2	1	H	short	lt	220		19	1		0	0	0	19	43	1
18		2	2	I	short	dk	79		2	2		0	2	0	1	80	1
18		2	3	H	short	lt	220		28	660		1	1	0	0	22	0
18		2	4	I	short	lt	110		46	660		13	2	1	9	21	1
18		2	5	H	short	dk	100		44	330		1	0	1	0	33	2
19		3	1	H	short	lt	100		26	110		0	0	0	0	8	0
19		3	2	I	short	dk	110		57	550		0	3	0	0	1	5
19		3	3	H	short	lt	440		21	440		0	0	0	1	13	0
19		3	4	I	short	lt	100		27	660		0	0	0	0	4	6
19		3	5	H	short	dk	330		18	33		0	0	0	2	1	2
20		4	1	H	short	lt	220		17	5		0	1	0	0	110	3
20		4	2	I	short	dk	238		16	3		0	3	0	20	18	2
20		4	3	H	short	lt	220		110	10		0	0	0	0	19	2
20		4	4	I	short	lt	90		5	0		0	0	0	0	100	2
20		4	5	H	short	dk	76		15	1		0	0	0	0	44	2
21		5	1	H	short	lt	1100	34	660		0	0	1	0	4	0
21		5	2	I	short	dk	110		6	0		0	1	0	1	50	0
21		5	3	H	short	lt	440		37	110		0	1	0	0	29	1
21		5	4	I	short	lt	110		9	440		0	0	0	0	58	12
21		5	5	H	short	dk	37		6	0		0	0	0	5	51	1
22		6	1	H	short	lt	100		12	6		0	0	0	0	9	1
22		6	2	I	short	dk	73		10	0		0	2	0	5	5	1
22		6	3	H	short	lt	75		8	0		0	1	0	0	18	0
22		6	4	I	short	lt	45		8	4		0	1	0	3	28	2
22		6	5	H	short	dk	110		37	330		0	8	0	0	16	5
23		7	1	H	short	lt	330		6	880		0	0	0	100	14	2
23		7	2	I	short	dk	71		6	0		0	1	0	10	128	4
23		7	3	H	short	lt	100		44	10		0	0	0	1	220	2
23		7	4	I	short	lt	220		7	4		0	0	1	13	100	1
23		7	5	H	short	dk	100		25	4		0	2	0	1	110	2
24		8	1	H	short	lt	110		66	330		1	0	1	5	220	1
24		8	2	I	short	dk	50		42	13		0	0	0	0	23	2
24		8	3	H	short	lt	110		102	100		0	0	0	10	48	2
24		8	4	I	short	lt	110		61	220		1	0	1	6	53	10
24		8	5	H	short	dk	116		36	1		0	0	0	0	28	2

