day,meta,r,p,res,trm,cyl,B,E,C,Pa,Pb,S,T,L,V
1,1,1,1,H,cnt,lt,1,0.2,1,0.2,1,0.2,1,0.2,0.2
1,1,1,2,I,cnt,lt,1,0.2,1,0.2,1,0.2,1,0.2,0.2
1,1,1,3,H,cnt,lt,1,0.2,1,0.2,1,0.2,1,0.2,0.2
1,1,1,4,I,cnt,lt,1,0.2,1,0.2,1,0.2,1,0.2,0.2
1,1,1,5,H,cnt,lt,1,0.2,1,0.2,1,0.2,1,0.2,0.2
1,2,2,1,H,cnt,lt,1,0.2,1,0.2,1,0.2,1,0.2,0.2
1,2,2,2,I,cnt,lt,1,0.2,1,0.2,1,0.2,1,0.2,0.2
1,2,2,3,H,cnt,lt,1,0.2,1,0.2,1,0.2,1,0.2,0.2
1,2,2,4,I,cnt,lt,1,0.2,1,0.2,1,0.2,1,0.2,0.2
1,2,2,5,H,cnt,lt,1,0.2,1,0.2,1,0.2,1,0.2,0.2
1,3,3,1,H,cnt,lt,1,0.2,1,0.2,1,0.2,1,0.2,0.2
1,3,3,2,I,cnt,lt,1,0.2,1,0.2,1,0.2,1,0.2,0.2
1,3,3,3,H,cnt,lt,1,0.2,1,0.2,1,0.2,1,0.2,0.2
1,3,3,4,I,cnt,lt,1,0.2,1,0.2,1,0.2,1,0.2,0.2
1,3,3,5,H,cnt,lt,1,0.2,1,0.2,1,0.2,1,0.2,0.2
1,4,4,1,H,cnt,lt,1,0.2,1,0.2,1,0.2,1,0.2,0.2
1,4,4,2,I,cnt,lt,1,0.2,1,0.2,1,0.2,1,0.2,0.2
1,4,4,3,H,cnt,lt,1,0.2,1,0.2,1,0.2,1,0.2,0.2
1,4,4,4,I,cnt,lt,1,0.2,1,0.2,1,0.2,1,0.2,0.2
1,4,4,5,H,cnt,lt,1,0.2,1,0.2,1,0.2,1,0.2,0.2
1,5,5,1,H,cnt,lt,1,0.2,1,0.2,1,0.2,1,0.2,0.2
1,5,5,2,I,cnt,lt,1,0.2,1,0.2,1,0.2,1,0.2,0.2
1,5,5,3,H,cnt,lt,1,0.2,1,0.2,1,0.2,1,0.2,0.2
1,5,5,4,I,cnt,lt,1,0.2,1,0.2,1,0.2,1,0.2,0.2
1,5,5,5,H,cnt,lt,1,0.2,1,0.2,1,0.2,1,0.2,0.2
1,6,6,1,H,cnt,lt,1,0.2,1,0.2,1,0.2,1,0.2,0.2
1,6,6,2,I,cnt,lt,1,0.2,1,0.2,1,0.2,1,0.2,0.2
1,6,6,3,H,cnt,lt,1,0.2,1,0.2,1,0.2,1,0.2,0.2
1,6,6,4,I,cnt,lt,1,0.2,1,0.2,1,0.2,1,0.2,0.2
1,6,6,5,H,cnt,lt,1,0.2,1,0.2,1,0.2,1,0.2,0.2
1,7,7,1,H,cnt,lt,1,0.2,1,0.2,1,0.2,1,0.2,0.2
1,7,7,2,I,cnt,lt,1,0.2,1,0.2,1,0.2,1,0.2,0.2
1,7,7,3,H,cnt,lt,1,0.2,1,0.2,1,0.2,1,0.2,0.2
1,7,7,4,I,cnt,lt,1,0.2,1,0.2,1,0.2,1,0.2,0.2
1,7,7,5,H,cnt,lt,1,0.2,1,0.2,1,0.2,1,0.2,0.2
1,8,8,1,H,cnt,lt,1,0.2,1,0.2,1,0.2,1,0.2,0.2
